,logfile,n_errors,errors,F-test,dtseries,csv,scan,parcellated,PID
90,../log/hcp1st-2536947_85.out,1,"[""ls: cannot access '/ncf/hcp/data/intradb_multiprocfix//HCD1324839_V1_MR/tfMRI_CARIT_PA/LINKED_DATA/PSYCHOPY/CARIT_HCD1324839*_wide.csv': No such file or directory\n""]",0,0,1,,,HCD1324839
324,../log/hcp1st-2536947_108.out,1,"[""ls: cannot access '/ncf/hcp/data/intradb_multiprocfix//HCD1569970_V1_MR/tfMRI_CARIT_PA/LINKED_DATA/PSYCHOPY/CARIT_HCD1569970*_wide.csv': No such file or directory\n""]",0,0,1,,,HCD1569970
326,../log/hcp1st-2536947_110.out,1,"[""ls: cannot access '/ncf/hcp/data/intradb_multiprocfix//HCD1646760_V1_MR/tfMRI_CARIT_PA/LINKED_DATA/PSYCHOPY/CARIT_HCD1646760*_wide.csv': No such file or directory\n""]",0,0,1,,,HCD1646760
334,../log/hcp1st-2536947_118.out,1,"[""ls: cannot access '/ncf/hcp/data/intradb_multiprocfix//HCD1742251_V1_MR/tfMRI_CARIT_PA/LINKED_DATA/PSYCHOPY/CARIT_HCD1742251*_wide.csv': No such file or directory\n""]",0,0,1,,,HCD1742251
382,../log/hcp1st-2536947_151.out,1,"[""ls: cannot access '/ncf/hcp/data/intradb_multiprocfix//HCD2111625_V1_MR/tfMRI_CARIT_PA/LINKED_DATA/PSYCHOPY/CARIT_HCD2111625*_wide.csv': No such file or directory\n""]",0,0,1,,,HCD2111625
439,../log/hcp1st-2536947_200.out,1,"[""ls: cannot access '/ncf/hcp/data/intradb_multiprocfix//HCD2891273_V1_MR/tfMRI_CARIT_PA/LINKED_DATA/PSYCHOPY/CARIT_HCD2891273*_wide.csv': No such file or directory\n""]",0,0,1,,,HCD2891273
585,../log/hcp1st-2537052_374.out,1,"[""ls: cannot access '/ncf/hcp/data/intradb_multiprocfix//HCD0786367_V1_MR/tfMRI_CARIT_PA/LINKED_DATA/PSYCHOPY/CARIT_HCD0786367*_wide.csv': No such file or directory\n""]",0,0,1,,,HCD0786367
695,../log/hcp1st-2538470_596.out,1,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD1240530_V3_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,1,tfMRI_CARIT_AP,parcellated,HCD1240530
822,../log/hcp1st-2538470_9.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD0022919_V1_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD0022919_V1_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD0022919
824,../log/hcp1st-2538470_8.out,2,"[""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD0021614_V3_MR/MNINonLinear/Results/tfMRI_CARIT_PA/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n"", ""ls: cannot access '/ncf/hcp/data/HCD-tfMRI-MultiRunFix/HCD0021614_V3_MR/MNINonLinear/Results/tfMRI_CARIT_AP/tfMRI_CARIT_PREPOT_hp200_s4_level1_hp0_clean_ColeAnticevic.feat/GrayordinatesStats/cope*.dtseries.nii': No such file or directory\n""]",0,0,2,tfMRI_CARIT_AP,parcellated,HCD0021614
