"conditionHit_1go","conditionHit_2go","conditionHit_3go","conditionHit_4go","conditioncorReject_2go","conditioncorReject_3go","conditioncorReject_4go","scanner1","scanner2","scanner3","scanner4","scanner5","RelativeRMS_mean_c"
1,0,0,0,0,0,0,1,0,0,0,0,0.00114244999999999
0,1,0,0,0,0,0,1,0,0,0,0,0.00114244999999999
0,0,1,0,0,0,0,1,0,0,0,0,0.00114244999999999
0,0,0,1,0,0,0,1,0,0,0,0,0.00114244999999999
0,0,0,0,1,0,0,1,0,0,0,0,0.00114244999999999
0,0,0,0,0,1,0,1,0,0,0,0,0.00114244999999999
0,0,0,0,0,0,1,1,0,0,0,0,0.00114244999999999
1,0,0,0,0,0,0,1,0,0,0,0,0.05877495
0,1,0,0,0,0,0,1,0,0,0,0,0.05877495
0,0,1,0,0,0,0,1,0,0,0,0,0.05877495
0,0,0,1,0,0,0,1,0,0,0,0,0.05877495
0,0,0,0,1,0,0,1,0,0,0,0,0.05877495
0,0,0,0,0,1,0,1,0,0,0,0,0.05877495
0,0,0,0,0,0,1,1,0,0,0,0,0.05877495
1,0,0,0,0,0,0,0,1,0,0,0,-0.05196185
0,1,0,0,0,0,0,0,1,0,0,0,-0.05196185
0,0,1,0,0,0,0,0,1,0,0,0,-0.05196185
0,0,0,1,0,0,0,0,1,0,0,0,-0.05196185
0,0,0,0,1,0,0,0,1,0,0,0,-0.05196185
0,0,0,0,0,1,0,0,1,0,0,0,-0.05196185
0,0,0,0,0,0,1,0,1,0,0,0,-0.05196185
1,0,0,0,0,0,0,0,1,0,0,0,-0.03086795
0,1,0,0,0,0,0,0,1,0,0,0,-0.03086795
0,0,1,0,0,0,0,0,1,0,0,0,-0.03086795
0,0,0,1,0,0,0,0,1,0,0,0,-0.03086795
0,0,0,0,1,0,0,0,1,0,0,0,-0.03086795
0,0,0,0,0,1,0,0,1,0,0,0,-0.03086795
0,0,0,0,0,0,1,0,1,0,0,0,-0.03086795
